"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","236","clusterStatus","All Test Suite","Mon Apr 28 13:28:32 IST 2025","passed","Mon Apr 28 13:28:32 IST 2025","Tests.Cluster_Accounting","C:/Users/hp/IdeaProjects/untitled6","Tests.Cluster_Accounting","clusterStatus"
"","140","GetUserLevel","All Test Suite","Mon Apr 28 13:28:01 IST 2025","passed","Mon Apr 28 13:28:01 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","GetUserLevel"
"","107","POST","All Test Suite","Mon Apr 28 13:28:36 IST 2025","passed","Mon Apr 28 13:28:37 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","POST"
"","205","powerBi","All Test Suite","Mon Apr 28 13:27:53 IST 2025","passed","Mon Apr 28 13:27:53 IST 2025","Tests.SacredGroves_Sutra_APIs","C:/Users/hp/IdeaProjects/untitled6","Tests.SacredGroves_Sutra_APIs","powerBi"
"","54961","giftAble","All Test Suite","Mon Apr 28 13:29:00 IST 2025","passed","Mon Apr 28 13:29:55 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","giftAble"
"","159","mapCluster","All Test Suite","Mon Apr 28 13:27:53 IST 2025","failed","Mon Apr 28 13:27:53 IST 2025","Tests.SacredGroves_Sutra_APIs","C:/Users/hp/IdeaProjects/untitled6","Tests.SacredGroves_Sutra_APIs","mapCluster"
"","170","updateUserPrivacySettings","All Test Suite","Mon Apr 28 13:29:55 IST 2025","passed","Mon Apr 28 13:29:55 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","updateUserPrivacySettings"
"","2020","OwnershipDetails","All Test Suite","Mon Apr 28 13:28:41 IST 2025","passed","Mon Apr 28 13:28:43 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","OwnershipDetails"
"","14050","activities","All Test Suite","Mon Apr 28 13:28:07 IST 2025","passed","Mon Apr 28 13:28:21 IST 2025","Tests.Sacred_Admin","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Admin","activities"
"","2902","transactionLedger","All Test Suite","Mon Apr 28 13:28:32 IST 2025","passed","Mon Apr 28 13:28:35 IST 2025","Tests.Cluster_Accounting","C:/Users/hp/IdeaProjects/untitled6","Tests.Cluster_Accounting","transactionLedger"
"","1520","POST","All Test Suite","Mon Apr 28 13:28:37 IST 2025","passed","Mon Apr 28 13:28:39 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","POST"
"","660","GetAllUsersWithAmount","All Test Suite","Mon Apr 28 13:28:05 IST 2025","passed","Mon Apr 28 13:28:06 IST 2025","Tests.Sacred_Admin","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Admin","GetAllUsersWithAmount"
"","610","Users","All Test Suite","Mon Apr 28 13:28:00 IST 2025","passed","Mon Apr 28 13:28:01 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","Users"
"","503","GetUserHistory","All Test Suite","Mon Apr 28 13:28:02 IST 2025","passed","Mon Apr 28 13:28:03 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","GetUserHistory"
